Sign on,D,From,To,Sign off,D,,,,
1:50,FR,ERN,KCVL,7:45,FR,,,,
2:08,FR,ED,ERN,9:35,FR,,,,
3:20,FR,KCVL,ERS,10:05,FR,,,,
3:25,FR,CLT,ERS,8:30,FR,,,,
4:15,FR,TVC,CLT,11:46,FR,,,,
4:48,FR,ED,ERN,12:20,FR,,,,
5:40,FR,TVC,ERS,9:31,FR,,,,
7:03,FR,ERS,ERN,11:22,FR,,,,
7:20,FR,ERS,SRR,11:15,FR,,,,
9:10,FR,ERS,SRR,12:30,FR,,,,
10:25,FR,ERN,ED,18:20,FR,,,,
11:15,FR,TVC,ERN,17:07,FR,,,,
11:46,FR,ERN,TVC,18:35,FR,,,,
15:30,FR,KCVL,ERN,22:25,FR,,,,
15:45,FR,TVC,ERN,21:40,FR,,,,
17:16,FR,SRR,TVC,23:10,FR,,,,
18:08,FR,SRR,ERS,21:05,FR,,,,
19:05,FR,QLN,ERN,0:15,SA,,,,
20:45,FR,ERN,ED,3:57,SA,,,,
21:18,FR,ED,ERS,3:45,SA,,,,
23:25,FR,ED,ERN,6:06,SA,,,,
0:05,MO,SRR,ERS,3:20,MO,,,,
0:45,MO,KCVL,ERS,5:35,MO,,,,
2:05,MO,ERS,TVC,7:10,MO,,,,
2:08,MO,ED,ERN,9:35,MO,,,,
3:25,MO,CLT,ERS,8:30,MO,,,,
4:15,MO,TVC,CLT,11:46,MO,,,,
4:23,MO,ERN,KCVL,10:55,MO,,,,
4:45,MO,KCVL,ERN,11:39,MO,,,,
4:48,MO,ED,ERN,12:20,MO,,,,
7:20,MO,ERS,SRR,11:15,MO,,,,
10:25,MO,ERN,KCVL,16:40,MO,,,,
10:25,MO,ERN,ED,18:20,MO,,,,
11:15,MO,TVC,ERN,17:07,MO,,,,
11:46,MO,ERN,TVC,18:35,MO,,,,
12:35,MO,CLT,ERS,18:45,MO,,,,
15:30,MO,KCVL,ERN,22:25,MO,,,,
17:16,MO,SRR,TVC,23:10,MO,,,,
19:10,MO,KCVL,ERN,23:42,MO,,,,
20:45,MO,ERN,ED,3:57,TU,,,,
22:55,MO,ERS,ED,5:55,TU,,,,
23:25,MO,ED,ERS,6:30,TU,,,,
2:29,SA,ERN,QLN,9:31,SA,,,,
2:50,SA,ERS,TVC,7:30,SA,,,,
3:25,SA,CLT,ERS,8:30,SA,,,,
4:15,SA,TVC,CLT,11:46,SA,,,,
